primary_city,Number_of_Jobs,Average_Rating,Average_Salary
Mumbai,3276,3.57,1.73
Bangalore,2830,3.61,1.45
Chennai,2666,3.6,2.37
Pune,2606,3.57,2.35
Noida,2585,3.57,1.74
Gurgaon,2210,3.55,1.46
Remote,2010,3.65,1.11
Kolkata,1735,3.56,1.13
Ahmedabad,1352,3.64,1.36
Delhi,920,3.52,1.94
Hyderabad,538,3.54,5.35
Hubli,38,3.65,0.0
Mumbai Suburban,33,3.51,2.61
Pune(Baner),22,3.63,8.06
Panipat,19,3.7,0.0
Pune(Hinjewadi Phase 1),11,3.51,6.23
Prayagraj,10,3.44,0.0
Kochi,9,3.42,3.78
Indore,9,3.58,4.28
Bhubaneswar,8,3.49,4.47
Pune(Viman Nagar),7,3.79,16.71
Pune(Kharadi),7,3.49,1.93
Mumbai(Airoli),6,3.63,10.29
Kolkata(New Town),6,3.97,1.92
Chennai(Perungudi),6,3.43,0.04
Chennai(Guindy),5,3.78,0.0
Ahmedabad(Bodakdev),5,3.88,7.2
Pune(Kalyani Nagar),5,3.82,4.0
Kolkata(Sector 5 Salt Lake),5,3.48,0.35
Mumbai(Goregaon),5,2.94,2.3
Kolkata(Salt Lake),5,3.62,1.05
Mumbai(Andheri East),4,3.22,10.75
Pune(Hinjewadi),4,3.55,11.38
Kolkata(Park Street),4,3.52,3.0
Chandigarh,4,3.58,0.0
Bhopal,4,4.25,13.12
Hosur,4,3.38,0.9
Chennai(Taramani),4,3.62,0.0
Mumbai(Bandra Kurla Complex),4,3.72,0.0
Mumbai(Lower Parel),4,3.58,9.0
Mumbai(Andheri),3,3.5,2.33
Mumbai(Ghansoli),3,3.3,0.0
Mumbai(Prabhadevi),3,3.77,12.08
Mumbai(Vikhroli),3,3.7,16.54
Mohali,3,3.47,12.0
Pune(Kothrud),3,3.77,3.0
Kolkata(Ballygunge),3,3.6,1.56
Gandhinagar,3,3.6,0.0
Ahmedabad(Makarba),3,3.8,4.92
Ahmedabad(Sanand),3,3.7,0.0
Chennai(Sholinganallur),3,4.23,7.25
Chennai(Ambattur Industrial Estate),3,3.87,0.0
Pan India,3,3.3,0.0
Pune(Magarpatta),3,3.17,5.0
Ahmedabad(Navrangpura),2,3.55,3.6
Ahmedabad(Prahlad Nagar),2,3.7,4.5
Ahmedabad(Thaltej),2,3.1,0.0
Ahmedabad(Changodar),2,4.0,3.62
Ahmedabad(Ring Road),2,3.5,4.5
Chennai(Thoraipakkam),2,3.25,8.62
Chennai(T Nagar),2,3.65,0.0
Mumbai(Powai),2,4.35,3.5
Mumbai(Wadala),2,3.8,9.38
Mumbai(Rabale),2,3.3,4.38
