company_name,Number_of_Jobs,Average_Rating
Tata Consultancy Services,653,3.3
Accenture,438,3.7
EY,340,3.4
Leading Client,243,3.6
Infosys,209,3.51
Capgemini,195,3.61
Photon,193,4.1
Logic Planet,185,2.8
Hexaware Technologies,147,3.4
Sparix Global,126,5.0
Paytm,111,3.2
Fractal Analytics,108,4.0
Krazy Mantra It,102,3.6
Han Digital Solution,98,3.6
Crisil,98,3.6
Diverse Lynx,94,3.4
Iris Software,91,3.7
Nagarro,90,3.9
Cognizant,88,3.7
Tech Stalwart Solution,86,3.2
PwC Service Delivery Center,85,3.3
IBM,82,3.89
Tech Mahindra,77,3.39
CGI,72,3.98
Synechron,71,3.4
Coforge,68,3.3
Barclays,68,3.8
Welo Data,61,4.5
Optum,61,4.0
Acme Services,60,3.6
Clifyx Technology,56,3.3
US MNC (analytics),54,3.6
Luxoft,54,3.6
S&P Global Market Intelligence,52,4.0
Mastercard,52,3.8
Thales,51,3.6
Codvo,51,3.5
UPS Supply Chain Solutions (UPS SCS),49,3.6
Zensar,48,3.7
HCLTech,47,3.4
RIGHT STEP CONSULTING PRIVATE LIMITED,46,3.6
Capco,46,3.79
Jones Lang LaSalle (JLL),44,4.1
Tredence,42,3.3
Wipro,42,3.6
JPMorgan Chase Bank,41,3.8
Persistent,40,3.6
Infraveo Technologies,38,3.6
Bahwan CyberTek,38,3.3
Grid Dynamics,38,3.1
Adobe,38,3.7
Google,38,4.4
Tekskills,37,3.62
Hitachi Digital Services,37,3.5
Maruti Suzuki,37,4.1
Crescendo Global,37,3.6
Airo Digital Labs,37,3.9
Altimetrik,36,3.53
Anaplan,36,3.1
Genpact,36,3.6
Cloud Counselage,36,4.4
SWS Smart Working Solutions,36,3.3
Ltimindtree,35,3.6
Micro1,35,3.6
Birlasoft,35,3.41
Highlevel Llc,35,3.6
Vrinda International,34,3.6
Axis Max Life Insurance,34,4.0
DXC Technology,34,3.6
Cloudxtreme,34,4.2
Tekskills India Pvt ltd,34,3.6
Axtria,33,2.7
Estalvis Advisors,33,3.6
Ascendion Engineering,32,3.6
IDESLABS,31,3.8
Oliver Wyman,31,3.2
Bajaj Finance,31,3.9
Tiger Analytics,30,3.7
Dentsu Webchutney,30,2.9
Quantiphi Analytics Solutions,30,3.1
BCForward,30,3.6
TP,29,3.9
Rockwell Automation,29,3.7
Kyndryl,29,4.0
ZS,29,3.1
Careernet,29,3.6
Rarr Technologies,28,4.18
Quarks Technosoft,28,3.6
Ecolab Global Services,28,3.4
Evalueserve,28,3.0
Squircle IT,28,3.6
Info Edge,27,3.8
KLA,27,3.9
UST,27,3.7
Azilen,27,2.9
AtkinsRéalis,26,3.8
Lorven Technologies,26,3.2
Caterpillar Inc,26,4.1
Spanbix Technologies,26,3.6
InfoCepts,26,3.5
Alignerr,26,3.7
LLP S3bglobal Technologies,26,3.5
Damco Solutions,26,3.4
Prudential,26,3.6
EXL,26,3.6
Ciklum,25,3.51
Elsevier,25,3.6
Deloitte US-India Offices,25,3.6
Artify Talent Studio,25,4.4
SLK Software,25,3.2
FIS,24,3.8
Tekskills india,24,3.6
Numerator,24,3.9
FedEx,24,4.0
Globallogic,24,3.5
Tekskills india pvt ltd,23,3.6
Acenet,23,4.2
Exavalu,23,4.1
Hatigen Consulting Services,23,3.6
GForce Consulting Solutions,23,3.6
Hitachi Energy,23,4.0
Innova Solutions,22,3.3
Hewlett Packard Enterprise,22,4.0
Bounteous x Accolite,22,3.2
Happiest Minds Technologies,22,3.4
Clover Infotech,22,3.35
Virtusa,22,3.7
Allianz,22,4.1
Open Insights,22,4.2
MNJ Software,22,4.2
"NTT DATA, Inc.",22,3.9
Adani Group,22,3.8
Yash Technologies,21,3.7
Mufg Pension & Market Services,21,3.5
Impetus Technologies,21,3.3
Deutsche Bank,21,3.8
Apex Group,20,2.6
Mobile Programming,20,2.9
Speechify,20,2.3
Scry Analytics,20,4.1
Acuity Knowledge Partners,20,3.1
Impronics Technologies,20,3.6
Krazymantra It Solutions,20,3.6
Expedia,20,3.6
Stack Digital,19,3.6
Wing Assistant,19,4.3
Virtualware Innovations,19,4.4
Aliqan Services,19,3.97
IBU Consulting,19,3.7
Ztek Consulting,19,3.8
PointAbout Inc.,19,3.1
ARP Investments,19,3.6
Tekskills India,19,3.6
Databricks,19,2.9
Epam Systems,19,3.7
KPI Partners,19,3.6
Aecom,19,4.2
The It Mind Services,19,4.1
IT Company,19,3.6
eLabs Infotech,19,3.6
PayU,18,3.3
TekWissen India,18,4.9
Premium,18,3.6
Insight Direct India,18,3.8
Ahead,18,3.3
Service based Top B2B MNC in IT Services Sector,18,3.6
Godigi Infotech,18,2.4
Straive,17,3.3
Embarkgcc Services,17,4.35
Calsoft,17,2.8
Katbotz Llc,17,3.6
Conduent,17,3.4
Affine Analytics,17,3.3
Navikenz India,17,3.5
AMERICAN EXPRESS,17,4.1
Nomura,17,3.7
brillio-2,17,3.3
Thermo Fisher Scientific,17,3.8
TATA 1 MG,17,3.6
Siemens,16,4.0
Baker Hughes,16,4.1
360DigiTMG,16,4.1
Tenarai Technologies,16,3.5
Star4rall It Solutions,16,3.6
Atyeti,16,3.7
Globant,16,3.4
Moris Media,16,4.4
Origin Hr,16,3.5
PW,16,3.6
Zenon LLC,16,2.7
Crescendo Global Leadership Hiring India,16,3.6
Premium Aerotec,16,3.6
Overture Rede,16,3.8
TO THE NEW,15,3.6
Hdfc Bank,15,3.8
Agilisium,15,3.1
Smiths,15,3.5
Leading IT Service and Consulting Organization,15,3.6
Drivetrain,15,1.6
E4 Softwares,15,3.7
TE Connectivity,15,4.1
Stratonik,15,3.6
Ceresight,15,3.6
Digital Glyde,15,3.3
Kiya.ai,15,3.9
Conneqt,15,3.5
enGen Global,15,3.8
Global Act,15,4.0
Programming.Com,15,3.4
PSRTEK,15,4.3
Intuitive Apps,15,2.7
Heinz,15,3.0
Codersbrain India,15,3.11
Gallagher,15,3.6
Service based Top B2B MNC in IT Services Domain,14,3.6
Scribble Data,14,3.6
Indium Software,14,3.9
Jobgether,14,3.6
Tekskills India pvt ltd,14,3.6
eClerx,14,3.1
Comviva Technology,14,2.8
Natwest Digitalx,14,3.9
Simcorp,14,3.9
VOLKSWAGEN GROUP DIGITAL SOLUTIONS PRIVATE LIMITED,14,3.9
Busigence Technologies,14,3.6
Movate Technologies,14,3.1
Mindshare,14,3.5
Flexsin Technologies,14,3.8
ti Steps,14,3.9
Fortune India 500 IT Services Company,14,3.6
Black and white Business Solutions,14,3.6
Black and white Business Solution,14,3.6
Salesforce,14,3.9
Protiviti India,14,2.7
Alstom,13,3.7
Oxane Partners,13,3.18
Rapsys Tech Solutions,13,3.6
Larsen & Toubro (L&T),13,3.83
LatentView,13,3.4
Prolegion,13,3.5
QX Global Group,13,3.0
Grant Thornton India Pvt Ltd,13,3.4
CAI,13,2.96
Clarivate,13,3.7
Rezultize,13,3.6
Heptarc Talent Acquisition,13,2.1
CareerFit.ai,13,3.6
Iqvia Biotech,13,3.4
Startek,13,3.0
Microland,13,3.5
Bean Hr Consulting,13,3.6
Finicity,13,3.6
TEKsystems,13,3.6
Sykes,13,3.4
Umbrella Infocare,13,4.4
Bharatcares,12,3.8
Macquarie,12,3.1
Brighttier Inc,12,3.6
PwC India,12,3.3
House of Edtech,12,4.2
Iflow,12,4.7
Prgx India,12,3.32
Pfizer,12,3.9
Goldman Sachs,12,3.4
Go Digital Technology Consulting,12,3.7
Visteon,12,3.1
Varite,12,3.6
Renalysis Consultants,12,2.7
Andre Consultancy Services,12,3.6
Clearwater Analytics,12,2.6
Gartner for HR,12,3.8
LogiNext,12,2.0
Bot Consulting,12,4.7
Fujitsu,12,3.8
MNC Group,12,3.6
TUV SUD South Asia,12,4.0
client of Kaizen,12,3.6
bp,12,3.7
Xpheno,12,3.6
Fortis,12,4.0
Level Ai,12,2.4
Schneider Electric India Pvt. Ltd.,12,4.1
Sparta Systems,12,4.1
anblicks,12,4.1
E Tech Software,12,3.6
Nvidia,12,3.5
Right Step Consulting,12,3.6
McCormick India,11,4.4
Forage Ai,11,3.5
thinkahead,11,3.3
Exzeo Software,11,3.9
Bluesoft Software Solution,11,3.6
Beinex,11,2.2
Stryker,11,3.9
Bayinfotech,11,3.6
Top MNC,11,3.6
GSPANN,11,4.0
iQor,11,3.3
Xoom,11,3.6
Makemytrip,11,3.4
Siro Clinpharm,11,3.76
Equinix,11,3.2
Nucleusteq Consulting,11,3.8
Nielsen Sports,11,3.8
Westernacher Consulting,11,4.1
Nextmeta Labs,11,2.2
Optimum Solutions,11,3.2
HCP Wellness,11,3.9
Legato,11,3.9
Leokraft Technologies,11,3.6
Aidaptive,11,3.6
Razorthink,11,3.3
CoreOps.AI,11,3.9
Diensten Tech,11,2.9
Delphic India,11,4.7
Kroll,11,3.4
WNS Holdings,11,3.3
Kiash Solutions LLP,11,3.6
Visa Consolidated Support Services India,11,3.5
Vmock,11,2.1
Quest Global,11,3.5
Infobeans,11,3.3
Iflowtech Solutions,10,3.6
