job_title,Number_of_Jobs,Average_Rating,Average_Salary
Data Engineer,847,3.56,2.32
Business Analyst,829,3.51,1.4
Data Scientist,516,3.6,2.65
Data Analyst,404,3.56,1.47
Senior Data Engineer,245,3.57,3.82
Python Developer,218,3.61,1.17
Senior Data Scientist,175,3.55,2.16
Machine Learning Engineer,162,3.69,2.65
Azure Data Engineer,159,3.6,2.65
Senior Business Analyst,131,3.49,1.48
Senior Data Analyst,80,3.64,0.76
Artificial Intelligence Engineer,78,3.59,5.42
AI Engineer,77,3.5,0.38
Python Software Developer,72,3.59,5.51
Gcp Data Engineer,65,3.51,5.55
Analyst,63,3.53,0.45
Lead Data Scientist,60,3.7,4.85
Lead Data Engineer,56,3.63,2.15
AI/ML Engineer,50,3.66,0.66
Big Data Engineer,50,3.54,1.58
Senior Python Developer,50,3.61,2.64
Java Full Stack Developer,48,3.57,3.99
Senior Machine Learning Engineer,48,3.55,3.44
Data Architect,47,3.69,2.9
Aws Data Engineer,46,3.5,7.43
Senior Software Engineer,44,3.52,1.42
Software Engineer,43,3.64,1.28
Snowflake Data Engineer,41,3.67,4.57
GCP Data Engineer,41,3.54,1.63
Ai Ml Engineer,39,3.59,5.54
Python Fullstack Developer,37,3.51,5.78
Executive,35,3.57,0.0
MIS Executive,35,3.8,0.34
Product Manager,35,3.43,0.66
Technical Business Analyst,34,3.6,1.76
Salesforce Business Analyst,33,3.71,2.76
Full Stack Developer,33,3.49,0.31
Sr. Data Scientist,31,3.32,0.0
Principal Engineer,30,3.33,1.83
Senior Analyst,29,3.41,0.97
Sr. Data Engineer,27,3.67,0.52
Senior Full Stack Developer,24,3.58,3.01
Product Analyst,23,3.24,0.0
Senior AI Engineer,22,3.66,2.39
Mis Executive,22,3.55,1.72
Software Developer,22,3.4,0.98
Cloud Data Engineer,21,3.56,0.0
Senior Software Developer,21,3.51,1.19
Big Data Developer,21,3.62,1.31
Social Media Manager,20,3.52,0.09
Python Developer Lead,20,3.49,12.62
AWS Data Engineer,19,3.67,1.61
Business Consultants,19,3.97,0.0
Intern,19,3.58,5.17
Research Analyst,19,3.44,1.21
Business System Analyst,19,3.71,1.14
AI / ML Engineer,18,3.62,0.0
Marketing Executive,18,3.43,0.18
Lead Engineer,18,3.66,2.22
Principal Data Scientist,18,3.48,0.0
Servicenow Business Analyst,18,3.59,2.78
Artificial Intelligence Architect,18,3.43,12.36
Data Modeller,18,3.44,7.43
MLOps Engineer,17,3.95,1.32
Lead AI Engineer,17,3.72,2.06
Consultant,17,3.69,0.0
Dot Net Developer,17,3.57,0.09
Data Analyst Intern,17,3.77,13.18
Sr. Business Analyst,17,3.54,0.0
Project Manager,17,3.59,1.0
Business Development Executive,16,3.59,0.88
GenAI Developer,16,3.49,1.25
Business Analysts,16,3.82,0.0
Sr Data Engineer,16,3.7,1.41
Python developer,16,3.57,3.38
Technical Lead,15,3.61,3.6
Data Science Engineer,15,3.41,6.24
GenAI Engineer,15,3.48,6.0
Sr Business Analyst,15,3.78,0.0
Business Analyst Lead,15,3.49,7.58
Manager,15,3.67,0.0
.NET Software Developer,14,3.59,2.32
ServiceNow Business Analyst,14,3.55,0.0
Solution Architect,14,3.52,0.0
Business Intelligence Analyst,14,3.54,2.57
Senior Azure Data Engineer,14,3.86,3.14
Fullstack Developer,14,3.72,1.28
AI Data Engineer,14,3.5,5.36
DevOps Engineer,14,3.57,0.0
Application Developer,14,3.7,2.32
Azure Data Architect,14,3.79,1.61
Sr Data Scientist,14,3.73,0.0
Principal Software Engineer,13,3.85,0.0
MIS Analyst,13,3.58,0.0
Salesforce Developer,13,3.85,0.44
Product Owner,13,3.55,1.6
Prompt Engineer,13,3.52,0.0
Java Developer,13,3.75,0.0
Business Development Manager,13,3.28,1.62
IT Business Analyst,13,4.05,0.0
Generative AI Engineer,13,3.58,9.02
Senior Artificial Intelligence Engineer,13,3.6,6.15
Data Scientist - Gen AI,13,4.0,0.0
Ai ML Engineer,13,3.71,11.96
Data Scientist Professional,13,3.58,0.0
Lead Business Analyst,13,3.52,0.0
Senior Associate,13,3.33,0.0
ML Engineer,13,3.31,2.31
Associate,12,3.3,0.0
Data Engineering Lead,12,3.83,0.0
Pricing Analyst,12,3.5,0.0
Quality Analyst,12,3.35,0.64
Power BI Developer,12,3.83,0.0
Data engineer,12,3.72,0.0
Data Modeler,11,3.58,0.0
Data Engineering,11,3.42,0.0
Databricks Data Engineer,11,3.86,0.0
Executive Assistant,11,3.71,0.65
Engineering Manager,11,3.25,2.95
Developer,11,3.68,0.0
Staff Machine Learning Engineer,11,3.54,0.0
Artificial Intelligence Developer,11,3.38,1.67
Python Data Engineer,11,3.63,5.02
Business Analyst Intern,11,3.37,5.18
Big Data Lead,11,3.78,0.0
Lead Software Engineer,11,3.73,0.0
Azure Administrator-@Infosys,10,3.5,0.0
Sr. Data Analyst,10,3.44,0.0
Data Platform Engineer,10,3.62,0.65
Conversational AI Engineer,10,3.75,0.0
Senior Data Modeler,10,3.47,6.5
Data scientist,10,3.71,0.0
Executive- Business Analyst,10,3.6,0.0
AWS Data Architect,10,3.52,0.0
Lead Data Analyst,10,3.6,1.48
Business Analyst and Process Engineer Lead,10,3.7,0.0
Data Engineer Professional,10,3.6,0.0
Financial Analyst,9,3.62,3.22
Senior Data Integration Engineer,9,3.63,0.0
BUSINESS ANALYST,9,3.36,0.0
Assistant Manager,9,3.66,1.11
Associate Business Analyst,9,3.47,4.25
Automation Test Engineer,9,3.68,3.69
Senior AI/ML Engineer,9,3.71,12.22
Business Architect,9,3.6,0.0
Junior Business Analyst,8,3.44,0.69
Internship,8,3.78,10.5
